id;fecha;detalles;codigo_localizacion
1;Fantastic Berkshire optical;2020-05-10T02:06:59;navigating Centers
2;Avon;2020-05-10T14:03:52;whiteboard
3;Implementation;2020-05-10T09:04:50;Producer
4;Refined Buckinghamshire action-items;2020-05-10T16:39:46;Awesome Granite Table
5;Manor Tasty Avon;2020-05-10T05:29:16;schemas
6;Inlet cross-platform;2020-05-10T11:05:12;white groupware 4th generation
7;Boliviano Mvdol Optimization optical;2020-05-10T10:16:57;driver
8;Automotive;2020-05-10T08:09:09;eyeballs Savings Account
9;PCI;2020-05-10T06:15:59;Up-sized
10;Money Market Account Cambridgeshire ROI;2020-05-10T16:07:39;archive mesh Human
