id;nombre;descripcion;precio;talla;image;image_content_type;producto_catergoria_id
1;budgetary management;cyan ivory;81998;L;../fake-data/blob/hipster.png;image/png;1
2;Dynamic bypassing Sharable;Western Sahara GB;61378;XL;../fake-data/blob/hipster.png;image/png;2
3;SDD;orchid pink;33378;S;../fake-data/blob/hipster.png;image/png;3
4;Awesome Shoes;Accounts virtual Small;39867;L;../fake-data/blob/hipster.png;image/png;4
5;Berkshire;synthesize calculating;20559;XL;../fake-data/blob/hipster.png;image/png;5
6;directional payment;transition;23088;XL;../fake-data/blob/hipster.png;image/png;6
7;primary Hollow Sleek;Soft Assurance;28300;L;../fake-data/blob/hipster.png;image/png;7
8;real-time Implementation product;dynamic Cheese;3519;XL;../fake-data/blob/hipster.png;image/png;8
9;solid state Benin Strategist;circuit synergies;79849;L;../fake-data/blob/hipster.png;image/png;9
10;optimize Rwanda Franc;Intranet XSS uniform;74317;M;../fake-data/blob/hipster.png;image/png;10
